101,Alki Playground,2700 59th Ave SW,Seattle,Southwest,2,1,0,,47.579262,-122.407769,4
102,Ballard High School,1420 NW 67th St,Seattle,,4,1,0,,47.677546,-122.3745147,4
103,Beacon Hill PG,1350 S Grand St,Seattle,Beacon Hill,2,0,1,,47.586795,-122.315657,3
104,Cal Anderson Park,1650 Broadway Ave,Seattle,First Hill & Capitol Hill,3,1,0,,47.615918,-122.319868,3
105,Brighton PF,6100 39th Ave S,Seattle,Southeast,2,0,0,,47.547956,-122.282917,3
106,Cleveland High School,5500 13th Ave S,Seattle,Greater Duwamish,2,0,0,,47.553173,-122.315729,2
107,Jefferson Park,3780 Beacon Ave S,Seattle,Beacon Hill,2,1,0,,47.570153,-122.308208,3
108,Garfield PF,2500 E Cherry St,Seattle,Central Area,2,1,0,,47.607814,-122.300306,3
109,Georgetown PF,770 S Findlay St,Seattle,Greater Duwamish,1,0,0,,47.55244,-122.322147,2
110,Gilman PG,5220 11th Ave NW,Seattle,Ballard,2,0,1,,47.666952,-122.370341,3
111,High Point PF,6960 34th Ave SW,Seattle,Southwest,2,0,0,,47.540223,-122.374756,4
112,Highland Park PG,1130 SW Cloverdale St,Seattle,Delridge,1,0,0,,47.526746,-122.349833,2
113,Leschi Park,80 Lake Washington Blvd,Seattle,Central,1,0,0,,47.601396,-122.287708,3
114,Lowman Beach Park,7004 Beach Dr. SW,Seattle,Southwest,1,0,0,,47.54037,-122.397121,2
115,Madrona Playfield,1100 33rd Ave,Seattle,Central,2,1,0,,47.611407,-122.290095,3
116,Magnolia Park,3130 W Howe St,Seattle,Magnolia,2,0,0,,47.635653,-122.397628,4
117,Magnolia PF,2518 34th Ave W,Seattle,Magnolia,4,0,0,,47.640775,-122.400417,4
118,Miller PF,310 19th Ave E,Seattle,Capitol Hill,2,1,0,,47.620839,-122.307017,4
119,Mt. Baker Park,2600 Lake Park Dr. S,Seattle,Southeast,2,1,0,,47.579558,-122.288531,3
120,Rainier PF,3570 S Oregon St ,Seattle,Southeast,4,1,0,,47.56247,-122.287053,4
121,Riverview PF,6920 12th Ave SW,Seattle,Delridge,2,0,0,,47.540053,-122.349951,3
122,Homestead Park,8835 SE 40th St,Mercer Island,,6,1,0,,47.573,-122.22,5
123,Luther Burbank Park,2000 84th Ave SE,Mercer Island,,3,0,0,,47.591,-122.226,4
124,Mercer Island Lid Park,2020 W Mercer Way,Mercer Island,,4,1,0,,47.592,-122.245,4
125,Hidden Valley Sports Park,2223 112th Ave NE,Bellevue,,1,0,0,,47.6305,-122.1935,4
126,Hillaire Park,15850 NE 4th St,Bellevue,,2,0,0,,47.6145,-122.129,4
127,Bovee Park,1500 108th Ave NE,Bellevue,,2,0,0,,47.6245,-122.19485,4
128,Killarney Glenn Park,1850 104th Ave SE,Bellevue,,2,1,0,,47.5938,-122.2023,4
129,Juanita High School,10601 NE 132nd St,Kirkland,,6,0,0,,47.7155,-122.2015,4
130,Bothel High School,8900 NE 185th St,Bothel,,6,1,0,,47.7617,-122.22,4
131,Cherry Crest Park,3200 126th Ave NE,Bellevue,,3,0,0,,47.641,-122.172,4
132,Crossroads Park,16000 NE 10th St,Bellevue,,2,0,0,,47.62,-122.128,4
133,Soundview PF,1750 NW 90th St,Seattle,Ballard,2,0,1,,47.695884,-122.380636,4
134,Ingram High School,1819 N 135th St,Seattle,,6,1,0,,47.725,-122.338,4
135,Highlands Park,16151 Highlands Blvd SE,Mill Creek,,1,0,0,,47.8507,-122.1942,3
136,Heron Park,2803 155th St SE,Mill Creek,,1,0,0,,47.858,-122.195,3
137,Henry M Jackson High School,1508 136th St SE,Mill Creek,,14,1,0,,47.873,-122.212,5
138,Cascade High School,1100 E Casino Rd,Everett,,6,1,0,,47.925,-122.22,4
139,Kamiak High School,4800 Chennault Beach Rd,Mukilteo,,6,1,0,,47.8955,-122.3,3
140,Pioneer Neighborhood Park,Pioneer Park Rd,Lynnwood,,2,0,0,,47.8325,-122.284,3
141,Lynnwood Athletic Complex,3001 184th St SW,Lynnwood,,5,1,0,,47.835,-122.2725,3
