122,Reservoir Park,16317 NE 95th Street,Redmond,,3,0,0,0,47.6856807,-122.1219853,4
123,Hazen High School,4931 NE 10th St,Renton,,4,0,0,0,47.502407,-122.152883,0
124,Kiwanis Park,891 Union Ave NE,Renton,,2,0,0,0,47.4962197,-122.1644621,0
125,Liberty Park,1222 Bronson Way N,Renton,,3,1,0,0,47.484135,-122.1981399,0
126,McKnight Middle School,1300 Edmonds Ave NE,Renton,,4,0,0,0,47.5030708,-122.1855761,0
127,Skyway Park,7150 S 125th St ,Renton,,1,0,0,0,47.4945043,-122.2453492,0
128,Talbot Hill Reservoir Park,710 S 19th St,Renton,,3,0,0,0,47.4628307,-122.2086674,0
129,Bill Reams East Sammamish Park,20348 Northeast 16th St,Sammamish,,1,0,0,0,47.6417664,-122.0803998,0
130,NE Sammamish Neighborhood Park,3608 Sahalee Way,Sammamish,,2,0,0,0,47.6423133,-122.055373,0
131,Skyline High School,1274 228th Ave SE,Sammamish,,8,0,0,0,47.599117,-122.033236,0
132,Eastlake High School,400 228th Avenue NE,Sammamish,,8,0,0,0,47.613353,-122.031369,0
133,Sunset Playfield,13633 18th Ave S,SeaTac,,2,0,1,0,47.4813946,-122.3102054,0
134,Hillwood Park,19340 3rd Ave NW,Shoreline,,2,0,1,0,47.7556531,-122.3415178,0
135,Innis Arden Community Center,1350 NW 188th St,Shoreline,,2,0,1,0,47.7658981,-122.3760323,0
136,Meridian Park,17300 Meridian Ave N,Shoreline,,2,0,1,0,47.7523226,-122.337386,0
137,Richmond Beach Community Park,1350 NW 188th St,Shoreline,,2,0,1,0,47.7556531,-122.3415178,0
138,Shoreview Park,912 NW Innis Arden Way,Shoreline,,6,0,1,0,47.749545,-122.367663,0
139,Shoreline Community Center,19030 1st Ave NE,Shoreline,,4,1,1,0,47.7672944,-122.3296923,0
140,Shorewood High School,17300 Fremont Avenue N,Shoreline,,4,1,1,0,47.7556531,-122.3415178,0
141,Twin Ponds Park,14880 1st Avenue NE,Shoreline,,1,0,1,0,47.7413891,-122.329897,0
142,Woodinville High School,19819 136th Ave NE,Woodinville,,6,1,1,0,47.769719,-122.15945,0
143,University of Washington,Walla Walla Rd,Seattle,,13,0,0,0,0,0,0
144,Ingram High School,1819 N 135th St,Seattle,,6,1,0,0,0,0,0
145,Blue Ridge Community Center,10024 15th Ave NW,Seattle,,2,0,0,0,0,0,0
146,Ballard Pool,1420 NW 67th St,Seattle,,4,1,0,0,0,0,0
147,Cascade High School,1100 E Casino Rd,Everett,,6,1,0,0,0,0,0
148,Spritridge Park,16100 SE 33rd PL,Bellevue,,1,0,0,0,0,0,0
149,Green Lake Park,7272 West Green Lake Dr N,Seattle,,2,0,0,0,0,0,3
